value,kind,source_id,cohort_id,verified_live
http://chiggers.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
http://starnow.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
http://mikrotik.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
http://dowhatyouwant.group/c,url,zimperium-iocs,zimperium-2024-scope,false
http://itwww.org/c,url,zimperium-iocs,zimperium-2024-scope,false
http://wicki-wicki.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
http://keepass.ltd/c,url,zimperium-iocs,zimperium-2024-scope,false
http://gofirst.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
http://stagepool.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
everythingispossible.group,hostname,zimperium-iocs,zimperium-2024-scope,false
http://oxydant.cn.com/c,url,zimperium-iocs,zimperium-2024-scope,false
http://letsencryp.at/c,url,zimperium-iocs,zimperium-2024-scope,false
trustmode.at,hostname,zimperium-iocs,zimperium-2024-scope,false
http://au-logon-login-page.group,url,zimperium-iocs,zimperium-2024-scope,false
http://shapr-3d.cn.com,url,zimperium-iocs,zimperium-2024-scope,false
http://paramed.cn.com,url,zimperium-iocs,zimperium-2024-scope,false
http://exchange-secure.cn.com,url,zimperium-iocs,zimperium-2024-scope,false
http://adobtone.cn.com,url,zimperium-iocs,zimperium-2024-scope,false
http://meshuggah.cn.com,url,zimperium-iocs,zimperium-2024-scope,false
backstage.cn.com,hostname,zimperium-iocs,zimperium-2024-scope,false
android.ipgeo.at,hostname,zimperium-iocs,zimperium-2024-scope,false
demospeed.org/c,host_path_without_scheme,zimperium-iocs,zimperium-2024-scope,false
senecte.cn.com,hostname,zimperium-iocs,zimperium-2024-scope,false
products-receiver.group,hostname,zimperium-iocs,zimperium-2024-scope,false
